 	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25	EXP26	EXP27	EXP28	EXP29	EXP30	EXP31	EXP32	EXP33	EXP34	EXP35	EXP36	EXP37	EXP38		
 	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(ALL)	(AML)	(AML)	(AML)	(AML)	(AML)	(AML)	(AML)	(AML)	(AML)	(AML)	(AML)		
hum_alu_at	15091	15763	18128	30799	25144	27089	19324	11631	16739	14022	23507	20230	6476	22143	24323	14989	18341	12802	25668	11038	16686	34207	15267	21812	18166	14760	36687	16723	45490	23903	17354	19403	17876	26056	11980	23506	17992	19666		2.41E-07
A28102_at	151	484	118	458	872	359	66	20	250	107	85	412	639	46	126	217	420	125	484	263	88	270	62	194	143	216	308	324	473	50	249	357	190	318	382	486	388	260		2.86E-07
AB000114_at	72	61	20	20	25	20	39	42	20	97	49	41	83	28	26	20	154	45	87	21	20	85	20	65	20	68	176	36	20	20	36	20	39	20	20	20	56	20		5.22E-07
AB000115_at	281	118	197	168	296	185	111	174	148	183	197	225	2193	191	99	290	1559	110	178	250	357	71	198	113	164	165	199	205	341	74	328	74	214	103	239	221	405	1305		6.77E-07
AB000220_at	36	39	39	20	59	35	41	20	50	20	20	59	40	20	24	41	32	21	162	43	42	32	27	39	20	51	20	20	20	39	20	51	71	20	72	39	192	32		7.50E-07
AB000409_at	20	20	237	87	20	130	20	146	46	125	30	73	20	79	20	343	70	76	20	20	142	20	147	20	20	20	20	180	20	436	20	88	20	39	376	20	20	20		1.09E-06
AB000449_at	57	274	311	131	70	158	971	498	125	366	165	285	813	534	28	380	208	285	197	169	359	232	313	204	307	315	135	79	110	86	133	111	178	181	96	120	36	255		1.21E-06
AB000450_at	186	245	186	199	556	54	220	207	177	488	166	99	199	173	20	203	80	23	115	219	237	30	259	54	87	110	105	320	259	107	131	96	48	47	173	285	113	114		1.34E-06
AB000460_at	1647	2128	1608	1784	2911	1438	2256	1770	1732	3170	1288	1515	2701	1405	1839	2270	1403	1479	2324	2043	1996	1354	2116	1408	2116	1772	1435	2413	1632	1971	2043	1825	2175	976	1767	1939	1461	2816		1.47E-06
AB000462_at	137	20	204	52	20	306	377	209	47	20	136	20	237	203	553	448	134	85	161	188	91	20	20	49	29	130	20	131	33	244	162	73	340	62	367	34	72	232		1.64E-06
